616  [main] TRACE o.s.c.a.ConfigurationClassBeanDefinitionReader -- Registering bean definition for @Bean method com.ssafy.live.washer.bean.WasherConfig.sWasher()
617  [main] TRACE o.s.c.a.ConfigurationClassBeanDefinitionReader -- Registering bean definition for @Bean method com.ssafy.live.washer.bean.WasherConfig.lWasher()
618  [main] TRACE o.s.c.a.ConfigurationClassBeanDefinitionReader -- Registering bean definition for @Bean method com.ssafy.live.washer.bean.WasherConfig.washerUser()
728  [main] TRACE o.s.c.a.ConfigurationClassEnhancer -- Successfully enhanced com.ssafy.live.washer.bean.WasherConfig; enhanced class name is: com.ssafy.live.washer.bean.WasherConfig$$SpringCGLIB$$0
728  [main] TRACE o.s.c.a.ConfigurationClassPostProcessor -- Replacing bean definition 'washerConfig' existing class 'com.ssafy.live.washer.bean.WasherConfig' with enhanced class 'com.ssafy.live.washer.bean.WasherConfig$$SpringCGLIB$$0'
730  [main] DEBUG o.s.b.f.s.DefaultListableBeanFactory -- Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
730  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Creating instance of bean 'org.springframework.context.event.internalEventListenerProcessor'
734  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Eagerly caching bean 'org.springframework.context.event.internalEventListenerProcessor' to allow for resolving potential circular references
736  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Finished creating instance of bean 'org.springframework.context.event.internalEventListenerProcessor'
736  [main] DEBUG o.s.b.f.s.DefaultListableBeanFactory -- Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
736  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Creating instance of bean 'org.springframework.context.event.internalEventListenerFactory'
737  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Eagerly caching bean 'org.springframework.context.event.internalEventListenerFactory' to allow for resolving potential circular references
737  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Finished creating instance of bean 'org.springframework.context.event.internalEventListenerFactory'
738  [main] DEBUG o.s.b.f.s.DefaultListableBeanFactory -- Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
738  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Creating instance of bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
740  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Eagerly caching bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor' to allow for resolving potential circular references
740  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Finished creating instance of bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
742  [main] TRACE o.s.c.a.AnnotationConfigApplicationContext -- No 'messageSource' bean, using [Empty MessageSource]
744  [main] TRACE o.s.c.a.AnnotationConfigApplicationContext -- No 'applicationEventMulticaster' bean, using [SimpleApplicationEventMulticaster]
745  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@54a7079e: defining beans [org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.event.internalEventListenerProcessor,org.springframework.context.event.internalEventListenerFactory,washerConfig,sWasher,lWasher,washerUser]; root of factory hierarchy
745  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Returning cached instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
745  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Returning cached instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
745  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Returning cached instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
